,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,date
2354,24244796,ARTIST LOFT ON HISTORIC TRENDY BLOCK IN SOHO,70091196,Frances,Manhattan,Nolita,40.72402,-73.99452,Entire home/apt,199,2,61,2019-09-07,3.95,1,121,2018-06-08
2355,24251311,Beautiful 1 BR Apt in the Heart of West Village!,41361010,Zack,Manhattan,West Village,40.73333,-74.0052,Entire home/apt,300,2,8,2019-05-20,0.66,1,255,2018-09-16
2356,24276183,** Harlem => RED Autumn In Manhattan-Convenient **,59749141,Veronica,Manhattan,East Harlem,40.80451,-73.94079,Entire home/apt,165,2,72,2019-09-04,4.17,1,141,2018-04-14
2357,24279771,Gorgeous Times Square Flat!,142053,Jowelle,Manhattan,Hell's Kitchen,40.76008,-73.98846,Entire home/apt,299,2,41,2019-05-29,2.42,5,218,2018-04-24
2358,24287261,Sweet Spot In Manhattan NYC!,16574437,Lee,Manhattan,Harlem,40.81542,-73.94574,Entire home/apt,175,2,36,2019-09-06,2.08,1,240,2018-04-13
2359,24308589,Stunning Central Park 1 bedroom,101328784,Stive Alexander,Manhattan,Upper West Side,40.78243,-73.97265,Entire home/apt,265,7,13,2019-05-30,0.84,1,118,2018-06-07
2360,24313537,Cozy & quiet 2 bedroom apt in a great location!,9973967,Gahee,Manhattan,East Village,40.726259999999996,-73.98784,Entire home/apt,310,2,87,2019-08-27,5.29,1,129,2018-05-09
2361,24351719,LES 2 BR Penthouse New Construction,87585422,Dan,Manhattan,Lower East Side,40.72081,-73.98461,Entire home/apt,975,4,9,2019-08-26,0.61,1,147,2018-06-30
2362,24366897,Modern & Stylish 1 Bed Manhattan w/ Private Garden,183886601,Lee,Manhattan,Inwood,40.87001,-73.92418,Entire home/apt,120,30,3,2019-03-03,0.19,2,126,2018-05-31
2363,24367113,( Private Garden )  Where Hansel and Gretel live.,3540748,Ron,Manhattan,Upper East Side,40.78026,-73.954,Entire home/apt,175,2,4,2018-12-09,0.24,1,336,2018-05-11
2364,24369797,"1BR 2 BEDS APT IN THE CITY, NEXT TO CENTRAL PARK!",178178426,Tiago,Manhattan,East Harlem,40.79208,-73.94641999999999,Entire home/apt,195,3,86,2019-09-02,5.14,1,140,2018-04-30
