,id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,date,year,x,y
1878,3344237,Stay in the heart of the East side!,16879147,Alejandro,Manhattan,Midtown,Private room,125,2,57,2019-08-22,0.89,1,335,2014-06-17,2014,-8233446.687094246,4976944.184262881
1879,3344509,Beautiful Chelsea Loft 700 Sq ft,1290508,Robert,Manhattan,Chelsea,Entire home/apt,179,10,1,2017-01-03,0.03,1,0,2017-01-03,2017,-8237283.86994189,4975016.193801009
1880,3351584,Amazing Oasis in NYC!,455017,Lauren,Manhattan,Washington Heights,Private room,80,1,1,2019-05-25,0.27,1,306,2019-05-25,2019,-8230635.869951717,4987994.854450436
1881,3358937,ADORABLE 2BR in Chelsea!!,16947051,Cayla,Manhattan,Chelsea,Entire home/apt,300,3,11,2016-04-17,0.18,1,0,2014-08-21,2014,-8238161.067529341,4975127.865795549
1882,3359315,Sublet near Columbia University,16948705,Berhani,Manhattan,Harlem,Private room,22,10,3,2015-08-08,0.05,1,0,2014-07-15,2014,-8232474.86793962,4985448.341311269
1883,3362302,TRENDY LOWER EAST SIDE STUDIO,16962600,Debris,Manhattan,Lower East Side,Entire home/apt,125,7,4,2015-01-30,0.07,1,0,2014-11-26,2014,-8236074.940271874,4970932.226509985
1884,3369826,Quant 1bdrm in midtown west,17001535,Paul,Manhattan,Hell's Kitchen,Entire home/apt,175,1,1,2014-09-24,0.02,1,331,2014-09-24,2014,-8237463.094322067,4976306.377014047
1885,3373030,"Cute,Cozy Lower East Side 1bdrm",7549,Ben,Manhattan,Lower East Side,Entire home/apt,150,1,62,2019-08-24,1.0,4,0,2014-08-09,2014,-8236556.953667009,4970111.231878606
1886,3383382,Modern 1 BR + terrace in Gramercy,908514,David,Manhattan,Kips Bay,Entire home/apt,165,2,28,2019-09-02,0.44,1,12,2014-07-01,2014,-8235527.248377172,4973880.4445592575
1887,3387493,Superior Two BR - UES (30 Days MIN),15310997,Mor,Manhattan,Upper East Side,Entire home/apt,300,30,3,2017-11-30,0.05,9,211,2014-12-04,2014,-8231947.213553262,4980229.404261988
1888,3393798,Greenwich Village cozy 1-2BD with outdoor space,8597778,Nadine,Manhattan,West Village,Entire home/apt,249,3,6,2016-08-11,0.1,1,0,2014-08-21,2014,-8237947.334107019,4973798.170310604
1889,3394044,Panoramic view of Upper Manhattan!,10657357,Ivan,Manhattan,Washington Heights,Private room,69,3,19,2019-08-01,0.3,4,245,2014-06-27,2014,-8231294.881337212,4987838.896352047
1890,3394517,A cozy room in a 3 bedroom apt,17125263,Mario,Manhattan,East Harlem,Private room,69,2,70,2019-08-31,1.17,2,300,2014-10-22,2014,-8230879.659636553,4983142.1946655745
1891,3394768,Your NYC haven at Upper Manhattan!,10657357,Ivan,Manhattan,Harlem,Private room,54,5,21,2019-04-29,0.33,4,144,2014-06-27,2014,-8232020.6844171835,4987384.278010525
1892,3394964,Your Manhattan haven: dressed in red,10657357,Ivan,Manhattan,Washington Heights,Private room,50,3,26,2019-08-28,0.41,4,84,2014-06-26,2014,-8231075.581940349,4987493.14908201
1893,3395099,An Upper-Manhattan room of your own!,10657357,Ivan,Manhattan,Washington Heights,Private room,51,4,24,2019-09-08,0.38,4,217,2014-06-26,2014,-8231531.991852601,4987781.516169738
1894,3395398,Cozy BR in heart of Manhattan (Hell's Kitchen),17130866,Thomas,Manhattan,Hell's Kitchen,Private room,99,3,10,2018-07-15,0.52,1,0,2018-02-11,2018,-8236610.38702259,4977734.8879244225
1895,3395697,Two-Floor Apartment on Upper West,17132728,Nick,Manhattan,Upper West Side,Entire home/apt,290,7,1,2016-09-22,0.03,1,0,2016-09-22,2016,-8234842.633508794,4981989.325645335
1896,3401271,Suite Lounge,5851210,Amy,Manhattan,East Harlem,Entire home/apt,135,3,231,2019-08-19,3.66,2,80,2014-07-08,2014,-8231445.162649781,4981696.7185658
1897,3402474,"Modern 1 Bedroom with Large Windows, Lots of Light",17157906,Brendon,Manhattan,Financial District,Entire home/apt,205,2,8,2017-01-01,0.15,1,0,2015-06-07,2015,-8238489.460027182,4969315.270696783
1898,3403034,Modern Manhattan Living Suite 2A,17161465,Judette,Manhattan,Harlem,Entire home/apt,95,30,37,2019-08-04,0.6,1,309,2014-08-21,2014,-8231439.596675244,4987250.397682992
1899,3408897,Gorgeous 2 Bedroom Loft in the Heart of Chelsea,17190169,Craig,Manhattan,Chelsea,Entire home/apt,349,5,19,2019-05-04,0.43,1,330,2016-01-28,2016,-8236746.196801359,4975183.702271398
1900,3411006,"COOL, ARTSY & CENTRAL APARTMENT",4903508,Dee,Manhattan,East Village,Entire home/apt,290,5,94,2019-08-25,1.54,1,6,2014-09-06,2014,-8236211.8632455515,4972840.31395657
1901,3420648,Lovely Near Time square in 1bedroom,16345041,Han,Manhattan,Hell's Kitchen,Entire home/apt,750,3,16,2015-08-19,0.26,1,365,2014-08-21,2014,-8236019.28052648,4977706.962355385
1902,3421589,Adorable Soho Apartment,17243187,Lana,Manhattan,SoHo,Entire home/apt,180,5,9,2019-04-14,0.15,1,76,2014-09-12,2014,-8237660.129820771,4971879.613679874
1903,3426233,2 Bd/1 Bath Apartment Upper East Side NYC,17272284,Geoffrey,Manhattan,Upper East Side,Entire home/apt,400,3,9,2019-04-28,0.33,2,0,2017-06-12,2017,-8233155.030028367,4977518.834286612
1904,3434211,Luxury Furnished Apt @TriBeCa/Soho,11081628,Arjun,Manhattan,Civic Center,Entire home/apt,80,7,6,2018-05-29,0.17,1,0,2016-10-24,2016,-8237899.466725977,4970634.075586524
1905,3434303,Cute Studio in Midtown East/UES!,16914467,Sharon,Manhattan,Midtown,Entire home/apt,150,2,4,2016-11-10,0.06,1,0,2014-08-22,2014,-8233379.89539977,4976729.617729557
1906,3434471,Spacious 2 BDR Apt. Upper West Side,13148521,Kira,Manhattan,Upper West Side,Entire home/apt,200,4,4,2015-08-11,0.07,1,0,2014-12-31,2014,-8234519.806985494,4981470.284935628
1907,3437101,Sparkling Brick APT Heart UES +Yoga,17318747,Jay,Manhattan,Upper East Side,Private room,99,1,25,2019-08-28,0.53,3,132,2015-10-24,2015,-8233166.161977447,4978979.861515438
1908,3439207,Comfortable and Convenient,5634395,Sarah,Manhattan,Harlem,Private room,60,7,11,2018-08-26,0.18,2,0,2014-08-04,2014,-8232824.411140711,4986101.45634856
1909,3440135,Cozy studio in the heart of Greenwich Village,7356757,Casey,Manhattan,Greenwich Village,Entire home/apt,225,1,44,2019-08-24,2.66,1,137,2018-05-06,2018,-8237664.582600404,4972938.739653411
1910,3440741,Charming Tudor 1BD Uptown,17339848,Elizabeth,Manhattan,Washington Heights,Entire home/apt,175,3,5,2016-09-09,0.08,1,0,2014-07-26,2014,-8230940.88535649,4991020.346445686
1911,3441930,Times Square Brand New Place,15718962,Samira,Manhattan,Hell's Kitchen,Private room,110,1,249,2019-09-07,3.95,3,35,2014-07-09,2014,-8236962.156613496,4976773.706358571
1912,3442067,Spacious Studio in Luxury Building,17198795,Julie,Manhattan,Upper East Side,Entire home/apt,255,2,1,2015-09-28,0.02,1,316,2015-09-28,2015,-8231881.535053693,4980363.188313962
1913,3450210,Spacious Apt in Townhouse near Columbia University,17389236,Emilie,Manhattan,Harlem,Entire home/apt,215,1,123,2019-08-23,2.0,1,39,2014-08-24,2014,-8232829.977115252,4983611.321929001
1914,3457770,Cute 1 BR in the Lower East Side,9604972,Alexia,Manhattan,Lower East Side,Entire home/apt,110,1,1,2014-08-09,0.02,1,0,2014-08-09,2014,-8236410.011939162,4971305.295150875
1915,3458525,Modern & Cozy 1BD Garden Apt,17430718,Natasha,Manhattan,Harlem,Entire home/apt,115,3,71,2019-08-31,1.13,2,259,2014-07-13,2014,-8231313.805650647,4985108.562262015
